index	count	dset	type
http://bio2rdf.org/drugbank:DB00189	78	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00199	325	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00200	172	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00205	121	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00248	216	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00254	376	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00257	245	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00273	360	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00313	270	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00314	121	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00316	482	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00356	186	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00375	119	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00404	282	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00422	434	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00440	279	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00449	134	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00490	299	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00512	246	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00521	137	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00593	172	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00601	282	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00604	201	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00606	111	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00610	145	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00640	164	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00661	397	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00668	405	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00674	226	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00683	258	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00696	266	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00703	145	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00705	294	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00723	143	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00770	177	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00816	167	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00819	233	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00822	121	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00829	314	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00841	161	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00867	135	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00884	187	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00889	157	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00898	538	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00900	167	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00907	196	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00908	317	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00933	164	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00937	161	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00951	213	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00983	192	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00989	177	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01021	121	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01037	243	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01045	348	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01049	229	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01063	156	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01064	163	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01095	194	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01101	143	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01114	263	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01119	192	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01124	271	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01136	319	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01144	124	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01148	129	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01151	360	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01156	297	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01176	120	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01193	250	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01195	159	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01196	115	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01200	270	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01201	188	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01204	131	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01210	137	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01211	404	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01214	121	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01233	398	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01239	177	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01240	131	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01242	279	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01253	190	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01285	85	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01294	157	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01356	281	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01357	174	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01365	115	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01380	162	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01403	390	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01440	129	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01551	231	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB01577	237	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB04272	290	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB04572	77	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB04843	94	1-DrugBank	Drug
http://bio2rdf.org/drugbank:DB00189	81	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00199	356	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00200	175	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00205	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00248	219	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00254	379	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00257	248	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00273	363	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00313	290	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00314	122	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00316	488	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00356	189	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00375	137	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00404	285	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00422	437	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00440	282	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00449	137	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00490	302	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00512	261	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00521	140	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00593	175	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00601	285	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00604	204	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00606	114	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00610	148	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00640	240	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00661	400	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00668	443	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00674	237	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00683	261	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00696	271	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00703	148	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00705	297	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00723	146	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00770	184	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00816	170	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00819	236	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00822	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00829	317	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00841	164	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00867	138	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00884	190	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00889	160	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00898	589	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00900	170	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00907	217	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00908	325	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00933	167	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00937	164	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00951	228	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00983	195	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00989	180	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01021	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01037	246	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01045	353	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01049	230	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01063	160	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01064	168	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01095	199	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01101	153	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01114	266	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01119	195	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01124	274	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01136	322	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01144	127	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01148	132	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01151	363	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01156	300	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01176	123	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01193	253	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01195	162	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01196	118	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01200	273	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01201	191	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01204	134	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01210	140	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01211	407	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01214	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01233	401	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01239	180	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01240	158	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01242	282	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01253	193	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01285	92	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01294	160	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01356	284	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01357	177	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01365	118	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01380	165	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01403	393	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01440	164	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01551	234	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01577	240	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB04272	403	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB04572	82	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB04843	98	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00189	81	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00199	423	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00200	180	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00205	170	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00248	219	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00254	404	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00257	258	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00273	441	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00313	815	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00314	122	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00316	730	3-PharmGKB	Drug
http://bio2rdf.org/drugbank:DB00356	189	3-PharmGKB	Drug
