index	count	dset	type
http://bio2rdf.org/drugbank:DB00189	81	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00199	356	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00200	175	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00205	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00248	219	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00254	379	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00257	248	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00273	363	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00313	290	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00314	122	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00316	488	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00356	189	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00375	137	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00404	285	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00422	437	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00440	282	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00449	137	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00490	302	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00512	261	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00521	140	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00593	175	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00601	285	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00604	204	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00606	114	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00610	148	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00640	240	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00661	400	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00668	443	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00674	237	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00683	261	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00696	271	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00703	148	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00705	297	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00723	146	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00770	184	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00816	170	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00819	236	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00822	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00829	317	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00841	164	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00867	138	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00884	190	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00889	160	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00898	589	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00900	170	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00907	217	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00908	325	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00933	167	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00937	164	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00951	228	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00983	195	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB00989	180	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01021	124	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01037	246	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01045	353	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01049	230	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01063	160	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01064	168	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01095	199	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01101	153	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01114	266	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01119	195	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01124	274	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01136	322	2-KEGG	Drug
http://bio2rdf.org/drugbank:DB01144	127	2-KEGG	Drug
