"x","kegg","pharmgkb","mesh","chebi"
"http://bio2rdf.org/drugbank:DB01021","http://bio2rdf.org/kegg:C07767","http://bio2rdf.org/pharmgkb:PA164752426","http://bio2rdf.org/mesh:D014237","http://bio2rdf.org/chebi:9683"
"http://bio2rdf.org/drugbank:DB00512","http://bio2rdf.org/kegg:C06689","http://bio2rdf.org/pharmgkb:PA451850","http://bio2rdf.org/mesh:D014640","http://bio2rdf.org/chebi:28001"
"http://bio2rdf.org/drugbank:DB04572","http://bio2rdf.org/kegg:C07641","http://bio2rdf.org/pharmgkb:PA451668","http://bio2rdf.org/mesh:D013852","http://bio2rdf.org/chebi:9570"
"http://bio2rdf.org/drugbank:DB00661","http://bio2rdf.org/kegg:C07188","http://bio2rdf.org/pharmgkb:PA451868","http://bio2rdf.org/mesh:D014700","http://bio2rdf.org/chebi:9948"
"http://bio2rdf.org/drugbank:DB00661","http://bio2rdf.org/kegg:C07188","http://bio2rdf.org/pharmgkb:PA451868","http://bio2rdf.org/mesh:D014700","http://bio2rdf.org/chebi:77733"
"http://bio2rdf.org/drugbank:DB01124","http://bio2rdf.org/kegg:C07148","http://bio2rdf.org/pharmgkb:PA451718","http://bio2rdf.org/mesh:D014044","http://bio2rdf.org/chebi:27999"
"http://bio2rdf.org/drugbank:DB00440","http://bio2rdf.org/kegg:C01965","http://bio2rdf.org/pharmgkb:PA451788","http://bio2rdf.org/mesh:D014295","http://bio2rdf.org/chebi:45924"
"http://bio2rdf.org/drugbank:DB00273","http://bio2rdf.org/kegg:C07502","http://bio2rdf.org/pharmgkb:PA451728","http://bio2rdf.org/mesh:C052342","http://bio2rdf.org/chebi:63631"
"http://bio2rdf.org/drugbank:DB00313","http://bio2rdf.org/kegg:C07185","http://bio2rdf.org/pharmgkb:PA451846","http://bio2rdf.org/mesh:D014635","http://bio2rdf.org/chebi:39867"
"http://bio2rdf.org/drugbank:DB01440","http://bio2rdf.org/kegg:C00989","http://bio2rdf.org/pharmgkb:PA10819","http://bio2rdf.org/mesh:C111420","http://bio2rdf.org/chebi:30830"
