reusepercent	reusecount	reusetype
0	156	URI Reuse
5	91	URI Reuse
10	18	URI Reuse
15	5	URI Reuse
20	14	URI Reuse
25	4	URI Reuse
30	9	URI Reuse
35	8	URI Reuse
40	4	URI Reuse
45	9	URI Reuse
50	5	URI Reuse
55	5	URI Reuse
60	3	URI Reuse
65	2	URI Reuse
70	3	URI Reuse
75	5	URI Reuse
80	4	URI Reuse
85	3	URI Reuse
90	8	URI Reuse
95	1	URI Reuse
100	20	URI Reuse
0	315	xref Reuse
5	21	xref Reuse
10	7	xref Reuse
15	8	xref Reuse
20	7	xref Reuse
25	2	xref Reuse
30	2	xref Reuse
35	3	xref Reuse
40	1	xref Reuse
45	1	xref Reuse
50	1	xref Reuse
55	1	xref Reuse
60	1	xref Reuse
65	0	xref Reuse
70	1	xref Reuse
75	1	xref Reuse
80	0	xref Reuse
85	1	xref Reuse
90	1	xref Reuse
95	1	xref Reuse
100	2	xref Reuse
