index	dsets	type	clcount	totSize	clSize
CHEBI	5	establishedOnto	30251	128652	1.235138202
NCIT	6	establishedOnto	6323	139585	1.045298564
SNOMEDCT	2	establishedOnto	6271	332416	1.018864916
PDB-OWL	4	establishedOnto-N	5086	5086	1
PR	2	establishedOnto	3662	317666	1.011527831
NDFRT	4	establishedOnto	3365	35949	1.093604829
BMRB-OWL	1	establishedOnto-N	2957	2957	1
EFO	5	establishedOnto	1576	21766	1.072406506
ATC	1	establishedOnto	1297	6209	1.208890321
NCBI TAXON	2	establishedOnto	324	1148802	1.000282033
SIO-CHEMINF	57	establishedOnto	136	2363	1.057553957
CL	2	establishedOnto	130	6636	1.019590115
UBERON	1	establishedOnto	117	19850	1.005894207
ORDO	1	establishedOnto	110	13666	1.008049173
LOINC	2	establishedOnto	80	200674	1.000398657
GO-OBO	11	establishedOnto-N	66	49290	1.001339014
PO	2	establishedOnto	51	2000	1.0255
IAO	8	establishedOnto	47	220	1.213636364
UO	4	establishedOnto	40	420	1.095238095
CMO	1	establishedOnto	39	2782	1.014018692
FMA	1	establishedOnto	36	104523	1.000344422
SO	3	establishedOnto	32	2430	1.013168724
UBPROP	4	establishedOnto-N	24	24	1
OBI	4	establishedOnto	19	3342	1.005685218
RO	5	establishedOnto-N	16	16	1
MP	1	establishedOnto	16	13556	1.001180289
BTO	2	establishedOnto	12	5902	1.002033209
EO	1	establishedOnto	12	768	1.015625
BFO	2	establishedOnto	9	37	1.243243243
PATO	3	establishedOnto	8	2713	1.002948765
GO	3	establishedOnto	8	49290	1.000162305
DIDEO	1	establishedOnto	5	617	1.008103728
ECO	1	establishedOnto	4	2127	1.001880583
IS	2	establishedOnto-N	4	4	1
HP	3	establishedOnto	3	16983	1.000176647
MS	1	establishedOnto	2	5900	1.000338983
TO	1	establishedOnto-N	2	2	1
CLO	2	establishedOnto	2	41916	1.000047714
ERO	1	establishedOnto	1	4061	1.000246245
DRON	1	establishedOnto	1	430000	1.000002326
INO	1	establishedOnto	1	320	1.003125
UNIPROT	4	establishedVocab	307	307	1
BIOPAX	12	establishedVocab	197	197	1
REEGLE	1	establishedVocab	161	161	1
OWL2	59	establishedVocab	67	77	1.87012987
LSQ(V)	1	establishedVocab	61	61	1
DCTERMS	47	establishedVocab	44	114	1.385964912
SCHEMA.ORG	5	establishedVocab	33	31	1
P-PLAN	2	establishedVocab	30	30	1
OA	2	establishedVocab	30	67	1.447761194
SKOS	23	establishedVocab	29	39	1.743589744
PAV	14	establishedVocab	28	30	1.933333333
SIOC	35	establishedVocab	27	27	1
FOAF	20	establishedVocab	26	77	1.337662338
GR	3	establishedVocab	25	179	1.139664804
PROV	6	establishedVocab	25	196	1.12755102
SD	14	establishedVocab	20	1	1
OBI	5	establishedVocab	17	17	1
RDFS	68	establishedVocab	17	15	1
DCE	17	establishedVocab	17	15	1
VAEM	1	establishedVocab	15	66	1.227272727
DPN-O	1	establishedVocab	14	14	1
RDF	56	establishedVocab	13	18	1.722222222
BIBO	4	establishedVocab	12	120	1.1
SWRL	1	establishedVocab	10	10	1
DCAT	7	establishedVocab	9	8	1
DOAP	2	establishedVocab	5	61	1.081967213
UI	1	establishedVocab	5	5	1
FABIO	2	establishedVocab	4	4	1
SKOSXL	3	establishedVocab	4	6	1.666666667
ADMS	1	establishedVocab	4	2	1
CITO	5	establishedVocab	4	4	1	
VOAG	2	establishedVocab	3	250	1.012
VANN	2	establishedVocab	3	8	1.375
VCARDS	1	establishedVocab	3	146	1.020547945
CC	1	establishedVocab	2	2	1
CNT	1	establishedVocab	2	2	1
DCTYPE	51	establishedVocab	2	14	1.142857143
GVP	1	establishedVocab	1	67	1.014925373
DUL	3	establishedVocab	1	187	1.005347594
DCAM	1	establishedVocab	1	2	1.5
ASSOC	1	establishedVocab	1	1	1
AIISO	1	establishedVocab	1	24	1.041666667
VIV	1	establishedVocab	1	1	1
http://jcggdb.jp/rdf/diseases/ggdonto-schema#	1	unpublishedVocab	901	901	1
http://mo-ld.org/mine_vocabulary:	1	unpublishedVocab	513	513	1
http://mo-ld.org/resource/	6	unpublishedVocab	500	500	1
http://nextprot.org/rdf#	1	unpublishedVocab	344	344	1
http://mo-ld.org/mine_type:	1	unpublishedVocab	338	338	1
http://bio2rdf.org/clinicaltrials_vocabulary:	9	unpublishedVocab	201	201	1
http://rdf.ebi.ac.uk/terms/chembl#	1	unpublishedVocab	166	166	1
http://bio2rdf.org/drugbank_vocabulary:	3	unpublishedVocab	158	158	1
http://bio2rdf.org/kegg_vocabulary:	5	unpublishedVocab	151	151	1
https://www.sbgenomics.com/ontologies/2014/11/tcga#	1	unpublishedVocab	142	142	1
http://linkedlifedata.com/resource/semanticnetwork/id/	2	unpublishedVocab	133	133	1
http://purl.uniprot.org/core/	1	unpublishedVocab	127	127	1
http://bio2rdf.org/obo_vocabulary:	10	unpublishedVocab	103	103	1
http://bio2rdf.org/omim_vocabulary:	6	unpublishedVocab	90	90	1
http://bio2rdf.org/sgd_vocabulary:	5	unpublishedVocab	89	89	1
http://jcggdb.jp/rdf/diseases/paconto-schema#	1	unpublishedVocab	86	86	1
http://bio2rdf.org/pharmgkb_vocabulary:	4	unpublishedVocab	84	84	1
http://rdf.ebi.ac.uk/terms/ensembl/	1	unpublishedVocab	75	75	1
http://purl.jp/bio/12/glyco/glycan#	1	unpublishedVocab	72	72	1
http://bio2rdf.org/affymetrix_vocabulary:	1	unpublishedVocab	67	67	1
http://identifiers.org/biomodels.vocabulary#	1	unpublishedVocab	66	66	1
http://bio2rdf.org/refseq_vocabulary:	10	unpublishedVocab	65	65	1
http://linkedlifedata.com/resource/drugbank/drug/	1	unpublishedVocab	65	65	1
http://bio2rdf.org/pubmed_vocabulary:	17	unpublishedVocab	61	61	1
http://id.nlm.nih.gov/mesh/vocab#	1	unpublishedVocab	60	60	1
http://bio2rdf.org/wormbase_vocabulary:	3	unpublishedVocab	59	59	1
http://bio2rdf.org/ncbigene_vocabulary:	13	unpublishedVocab	58	58	1
http://bio2rdf.org/mesh_vocabulary:	5	unpublishedVocab	58	58	1
http://rdf.ebi.ac.uk/resource/ensembl/	1	unpublishedVocab	58	58	1
http://vocabularies.wikipathways.org/gpml#	1	unpublishedVocab	56	56	1
https://www.sbgenomics.com/ontologies/2016/5/ccle#	1	unpublishedVocab	55	55	1
http://purl.jp/bio/11/mbgd#	1	unpublishedVocab	49	49	1
http://purl.jp/bio/101/opentggates/ontology/	1	unpublishedVocab	45	45	1
http://www.glycoinfo.org/glyco/owl/wurcs#	1	unpublishedVocab	43	43	1
http://bio2rdf.org/mgi_vocabulary:	5	unpublishedVocab	42	42	1
http://linkedlifedata.com/resource/entrezgene/	1	unpublishedVocab	41	41	1
http://bio2rdf.org/mi:	11	unpublishedVocab	40	40	1
http://www.orphanet.org/rdfns#	1	unpublishedVocab	39	39	1
http://purl.bioontology.org/ontology/MESH/	1	unpublishedVocab	37	37	1
http://bio2rdf.org/taxonomy_vocabulary:	53	unpublishedVocab	36	36	1
http://bio2rdf.org/irefindex_vocabulary:	8	unpublishedVocab	36	36	1
http://bio2rdf.org/hgnc_vocabulary:	6	unpublishedVocab	36	36	1
http://www.bioassayontology.org/bao#	2	unpublishedVocab	36	36	1
http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#	1	unpublishedVocab	34	34	1
http://rdf.ebi.ac.uk/terms/atlas/	2	unpublishedVocab	33	33	1
http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/	1	unpublishedVocab	33	33	1
http://linkedlifedata.com/resource/clinicaltrials/study/	1	unpublishedVocab	32	32	1
http://bio2rdf.org/ndc_vocabulary:	3	unpublishedVocab	31	31	1
http://identifiers.org/	1	unpublishedVocab	30	30	1
http://idtype.identifiers.org/	1	unpublishedVocab	30	30	1
http://bio2rdf.org/interpro_vocabulary:	3	unpublishedVocab	30	30	1
http://vocabularies.wikipathways.org/wp#	1	unpublishedVocab	30	30	1
http://bio2rdf.org/dbsnp_vocabulary:	4	unpublishedVocab	29	29	1
http://bio2rdf.org/linkedspls_vocabulary:	2	unpublishedVocab	27	27	1
http://bio2rdf.org/ctd_vocabulary:	12	unpublishedVocab	27	27	1
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/	1	unpublishedVocab	27	27	1
http://linkedlifedata.com/resource/clinicaltrials/	1	unpublishedVocab	26	26	1
http://linkedlifedata.com/resource/drugbank/	1	unpublishedVocab	23	23	1
http://linkedlifedata.com/resource/drugbank/molecule/	1	unpublishedVocab	23	23	1
http://ddbj.nig.ac.jp/ontologies/taxonomy/	1	unpublishedVocab	23	23	1
http://linkedlifedata.com/resource/chembl/	1	unpublishedVocab	23	23	1
http://metadb.riken.jp/ontology/SSBD/	1	unpublishedVocab	22	22	1
http://bio2rdf.org/genage_vocabulary:	1	unpublishedVocab	21	21	1
http://purl.jp/bio/01/quanto/ontology/sos#	1	unpublishedVocab	20	20	1
http://bio2rdf.org/goa_vocabulary:	10	unpublishedVocab	19	19	1
http://www.ncbi.nlm.nih.gov/mesh/	1	unpublishedVocab	18	18	1
http://www.glycoepitope.jp/epitopes/glycoepitope.owl#	1	unpublishedVocab	18	18	1
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/	2	unpublishedVocab	17	17	1
http://omim.org/entry/	1	unpublishedVocab	17	17	1
http://purl.jp/bio/01/refexo#	1	unpublishedVocab	17	17	1
http://purl.jp/bio/01/mccv#	1	unpublishedVocab	17	17	1
http://linkedlifedata.com/resource/chembl/target/	1	unpublishedVocab	17	17	1
http://purl.bioontology.org/ontology/ICD10CM/	1	unpublishedVocab	17	17	1
http://linkedlifedata.com/resource/chembl/compound/	1	unpublishedVocab	16	16	1
http://rdf.ebi.ac.uk/terms/biosd/	1	unpublishedVocab	16	16	1
http://bio2rdf.org/so:	3	unpublishedVocab	15	15	1
http://linkedlifedata.com/resource/pdb/molecule/	1	unpublishedVocab	15	15	1
http://linkedlifedata.com/resource/pubmed/	1	unpublishedVocab	15	15	1
http://biohackathon.org/resource/faldo#	13	unpublishedVocab	15	15	1
http://edamontology.org/	2	unpublishedVocab	14	14	1
http://vocab.jst.go.jp/terms/sti#	1	unpublishedVocab	14	14	1
http://purl.org/net/nlprepository/spl-pharmgx-annotation-poc#	1	unpublishedVocab	14	14	1
http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/vocab/resource/	1	unpublishedVocab	13	13	1
	1	unpublishedVocab	13	13	1
http://purl.jp/bio/11/orth#	1	unpublishedVocab	13	13	1
http://linkedlifedata.com/resource/chembl/product/	1	unpublishedVocab	12	12	1
http://linkedlifedata.com/resource/pfam/family/	2	unpublishedVocab	12	12	1
http://biomodels.net/biology-qualifiers#	1	unpublishedVocab	12	12	1
http://linkedlifedata.com/resource/chembl/literatureCitation/	1	unpublishedVocab	11	11	1
http://linkedlifedata.com/resource/homologene/statistics/	1	unpublishedVocab	10	10	1
http://linkedlifedata.com/resource/chembl/activity/	1	unpublishedVocab	10	10	1
http://purl.org/net/drug-interaction-knowledge-base/DIKB_evidence_ontology.owl#	1	unpublishedVocab	10	10	1
http://purl.jp/bio/01/famsbase/ontology/	1	unpublishedVocab	9	9	1
http://bio2rdf.org/sider_vocabulary:	1	unpublishedVocab	9	9	1
http://linkedlifedata.com/resource/pdb/structure/	1	unpublishedVocab	8	8	1
http://linkedlifedata.com/resource/pdb/method/	1	unpublishedVocab	8	8	1
http://www.glytoucan.org/glyco/owl/glytoucan#	1	unpublishedVocab	8	8	1
http://linkedlifedata.com/resource/pdb/	1	unpublishedVocab	8	8	1
http://bio2rdf.org/lsr_vocabulary:	1	unpublishedVocab	8	8	1
http://edda.dbmi.pitt.edu/ontologies/StudyDesigns.owl#	1	unpublishedVocab	8	8	1
http://linkedlifedata.com/resource/clinicaltrials/outcome/	1	unpublishedVocab	8	8	1
http://identifiers.org/idot/	2	unpublishedVocab	8	8	1
http://jcggdb.jp/rdf/diseases/gmncbi-schema#	1	unpublishedVocab	7	7	1
http://linkedlifedata.com/resource/pfam/protein/	2	unpublishedVocab	7	7	1
http://linkedlifedata.com/resource/sider/drug/	1	unpublishedVocab	7	7	1
http://linkedlifedata.com/resource/homologene/	1	unpublishedVocab	7	7	1
http://linkedlifedata.com/resource/clinicaltrials/result/	1	unpublishedVocab	7	7	1
http://www.nanopub.org/nschema#	1	unpublishedVocab	7	7	1
http://prismstandard.org/namespaces/basic/2.0/	2	unpublishedVocab	7	7	1
http://linkedlifedata.com/resource/chembl/assay/	1	unpublishedVocab	7	7	1
http://bio2rdf.org/homologene_vocabulary:	1	unpublishedVocab	7	7	1
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/	1	unpublishedVocab	6	6	1
http://linkedlifedata.com/resource/assayTargetLink/	1	unpublishedVocab	6	6	1
http://purl.obolibrary.org/obo/uberon/core#	2	unpublishedVocab	6	6	1
http://linkedlifedata.com/resource/sider/	1	unpublishedVocab	6	6	1
http://dbmi-icode-01.dbmi.pitt.edu/dikb/vocab/resource/	1	unpublishedVocab	6	6	1
http://linkedlifedata.com/resource/homologene/group/	1	unpublishedVocab	6	6	1
http://icgc.link/	1	unpublishedVocab	6	6	1
