"x","kegg","uniprot","ensembl","pharmgkb","ncbigene"
"http://bio2rdf.org/drugbank:BE0003148","http://bio2rdf.org/kegg:hsa_5228","http://bio2rdf.org/uniprot:P49763","http://bio2rdf.org/ensembl:ENSG00000119630","http://bio2rdf.org/pharmgkb:PA33231","http://bio2rdf.org/ncbigene:5228"
"http://bio2rdf.org/drugbank:BE0003148","http://bio2rdf.org/kegg:hsa_5228","http://bio2rdf.org/uniprot:Q86TW6","http://bio2rdf.org/ensembl:ENSG00000119630","http://bio2rdf.org/pharmgkb:PA33231","http://bio2rdf.org/ncbigene:5228"
"http://bio2rdf.org/drugbank:BE0003508","http://bio2rdf.org/kegg:hsa_5745","http://bio2rdf.org/uniprot:Q03431","http://bio2rdf.org/ensembl:ENSG00000160801","http://bio2rdf.org/pharmgkb:PA33953","http://bio2rdf.org/ncbigene:5745"
"http://bio2rdf.org/drugbank:BE0001109","http://bio2rdf.org/kegg:hsa_5879","http://bio2rdf.org/uniprot:A4D2P1","http://bio2rdf.org/ensembl:ENSG00000136238","http://bio2rdf.org/pharmgkb:PA34162","http://bio2rdf.org/ncbigene:5879"
"http://bio2rdf.org/drugbank:BE0001109","http://bio2rdf.org/kegg:hsa_5879","http://bio2rdf.org/uniprot:P63000","http://bio2rdf.org/ensembl:ENSG00000136238","http://bio2rdf.org/pharmgkb:PA34162","http://bio2rdf.org/ncbigene:5879"
"http://bio2rdf.org/drugbank:BE0000982","http://bio2rdf.org/kegg:hsa_59272","http://bio2rdf.org/uniprot:Q9BYF1","http://bio2rdf.org/ensembl:ENSG00000130234","http://bio2rdf.org/pharmgkb:PA425","http://bio2rdf.org/ncbigene:59272"
"http://bio2rdf.org/drugbank:BE0003522","http://bio2rdf.org/kegg:hsa_5734","http://bio2rdf.org/uniprot:A0PJF5","http://bio2rdf.org/ensembl:ENSG00000171522","http://bio2rdf.org/pharmgkb:PA289","http://bio2rdf.org/ncbigene:5734"
"http://bio2rdf.org/drugbank:BE0003522","http://bio2rdf.org/kegg:hsa_5734","http://bio2rdf.org/uniprot:P35408","http://bio2rdf.org/ensembl:ENSG00000171522","http://bio2rdf.org/pharmgkb:PA289","http://bio2rdf.org/ncbigene:5734"
"http://bio2rdf.org/drugbank:BE0003309","http://bio2rdf.org/kegg:hsa_5741","http://bio2rdf.org/uniprot:P01270","http://bio2rdf.org/ensembl:ENSG00000152266","http://bio2rdf.org/pharmgkb:PA33951","http://bio2rdf.org/ncbigene:5741"
"http://bio2rdf.org/drugbank:BE0000368","http://bio2rdf.org/kegg:hsa_5732","http://bio2rdf.org/uniprot:P43116","http://bio2rdf.org/ensembl:ENSG00000125384","http://bio2rdf.org/pharmgkb:PA287","http://bio2rdf.org/ncbigene:5732"
"http://bio2rdf.org/drugbank:BE0003420","http://bio2rdf.org/kegg:hsa_599","http://bio2rdf.org/uniprot:Q92843","http://bio2rdf.org/ensembl:ENSG00000129473","http://bio2rdf.org/pharmgkb:PA25307","http://bio2rdf.org/ncbigene:599"
"http://bio2rdf.org/drugbank:BE0000064","http://bio2rdf.org/kegg:hsa_5731","http://bio2rdf.org/uniprot:P34995","http://bio2rdf.org/ensembl:ENSG00000160951","http://bio2rdf.org/pharmgkb:PA286","http://bio2rdf.org/ncbigene:5731"
"http://bio2rdf.org/drugbank:BE0004147","http://bio2rdf.org/kegg:hsa_57172","http://bio2rdf.org/uniprot:Q96NX5","http://bio2rdf.org/ensembl:ENSG00000008118","http://bio2rdf.org/pharmgkb:PA26049","http://bio2rdf.org/ncbigene:57172"
"http://bio2rdf.org/drugbank:BE0004238","http://bio2rdf.org/kegg:hsa_5530","http://bio2rdf.org/uniprot:Q08209","http://bio2rdf.org/ensembl:ENSG00000138814","http://bio2rdf.org/pharmgkb:PA33678","http://bio2rdf.org/ncbigene:5530"
"http://bio2rdf.org/drugbank:BE0000741","http://bio2rdf.org/kegg:hsa_644","http://bio2rdf.org/uniprot:P53004","http://bio2rdf.org/ensembl:ENSG00000106605","http://bio2rdf.org/pharmgkb:PA25373","http://bio2rdf.org/ncbigene:644"
"http://bio2rdf.org/drugbank:BE0003115","http://bio2rdf.org/kegg:hsa_547","http://bio2rdf.org/uniprot:Q12756","http://bio2rdf.org/ensembl:ENSG00000130294","http://bio2rdf.org/pharmgkb:PA25180","http://bio2rdf.org/ncbigene:547"
"http://bio2rdf.org/drugbank:BE0003508","http://bio2rdf.org/kegg:hsa_5745","http://bio2rdf.org/uniprot:A0A024R2Z8","http://bio2rdf.org/ensembl:ENSG00000160801","http://bio2rdf.org/pharmgkb:PA33953","http://bio2rdf.org/ncbigene:5745"
"http://bio2rdf.org/drugbank:BE0002231","http://bio2rdf.org/kegg:hsa_122622","http://bio2rdf.org/uniprot:Q8N142","http://bio2rdf.org/ensembl:ENSG00000185100","http://bio2rdf.org/pharmgkb:PA134974111","http://bio2rdf.org/ncbigene:122622"
"http://bio2rdf.org/drugbank:BE0000899","http://bio2rdf.org/kegg:hsa_1311","http://bio2rdf.org/uniprot:P49747","http://bio2rdf.org/ensembl:ENSG00000105664","http://bio2rdf.org/pharmgkb:PA26744","http://bio2rdf.org/ncbigene:1311"
